No	ExtEHR resource	ExtEHR field	ExtEHR #	ExtEHR description	ExtEHR type	Ext binding	ExtEHR source	Mapped Resource	Mapped Field	EQ				Modeling	Needs work	Actor	Section	R4Mapped Resource	R4Mapped Field	EQ				Modeling	Needs work	Actor	Section	
520	EHDSDosaging	bodySite	0..1	Body site of administration	CodeableConcept		Body site of administration																					
521	EHDSDosaging	routeOfAdministration	0..1	Route of administration	CodeableConcept		Route of administration																					
522	EHDSDosaging	methodOfAdministration	0..1	Method of administration	CodeableConcept		Method of administration																					
523	EHDSDosaging	maxDose	0..*	Maximum dose for the patient	Base		Maximum dose for the patient																					
524	EHDSDosaging	maxDose.maxDosePerPeriod	0..*	Upper limit on medication per unit of time	Ratio		Upper limit on medication per unit of time																					
525	EHDSDosaging	maxDose.maxDosePerAdministration	0..1	Upper limit on medication per one administration	Quantity		Upper limit on medication per one administration																					
526	EHDSDosaging	maxDose.maxDosePerLifetime	0..1	Upper limit on medication per lifetime of the patient	Quantity		Upper limit on medication per lifetime of the patient																					
527	EHDSEncounter		0..*	EHDS refined base model for Encounter			Encounter model	EuEncounter																				
528	EHDSEncounter	header	1..1	Common header for all patient-related data	Base		Common header for all patient-related data	EuEncounter																				
529	EHDSEncounter	header.subject	1..1	Patient/subject information	EHDSPatient		Subject	EuEncounter	subject	EQ						R				EQ						R		
530	EHDSEncounter	header.identifier	0..*	Business identifier for the object	Identifier		Business identifier for the object	EuEncounter	identifier	EQ						R				EQ						R		
531	EHDSEncounter	header.authorship	1..*	Resource authoring details	Base		Authorship	EuEncounter																				
532	EHDSEncounter	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSHealthProfessional		Author	EuEncounter						Not a clear mapping for this element, as encounters are not documents, and don't have an author.		R								Not a clear mapping for this element, as encounters are not documents, and don't have an author.		R		
533	EHDSEncounter	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author	EuEncounter																				
534	EHDSEncounter	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSDevice		Author	EuEncounter																				
535	EHDSEncounter	header.authorship.datetime	1..1	Date and time of the issuing the document/resource by its author.	dateTime		Date and time of authoring/issuing	EuEncounter						Not a clear mapping, will need an extension										Not a clear mapping, will need an extension				
536	EHDSEncounter	header.lastUpdate	0..1	Date and time of the last update to the document/information	dateTime		Date and time of the last update to the resource	EuEncounter	meta.lastUpdated	EQ						R				EQ						R		
537	EHDSEncounter	header.status	1..1	Status of the resource	CodeableConcept		Status of the resource	EuEncounter	status	EQ						R				EQ						R		
538	EHDSEncounter	header.statusReason[x]	0..1	Reason for the current status of the resource.	CodeableConcept		Reason for the current status of the resource.	EuEncounter	extension[status-reason]	EQ						R				EQ						R		
539	EHDSEncounter	header.statusReason[x]	0..1	Reason for the current status of the resource.	string		Reason for the current status of the resource.	EuEncounter	extension[status-reason].valueCodeableConcept.text	EQ						R				EQ						R		
540	EHDSEncounter	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language	EuEncounter	language	EQ						R				EQ						R		
541	EHDSEncounter	header.version	0..1	Business version of the resource.	string		Version	EuEncounter	meta.versionId	EQ						R				EQ						R		
542	EHDSEncounter	presentedForm	0..*	A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EHDSAttachment		A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EuEncounter	text	EQ						R				EQ						R		
543	EHDSEncounter	priority	0..1	Indicates the urgency of the encounter.	CodeableConcept	hl7:v3-xEncounterAdmissionUrgency (preferred)	Priority	EuEncounter	priority	EQ						R				EQ						R		
544	EHDSEncounter	type	1..1	The type of the encounter whether inpatient or short stay encounter.	CodeableConcept	hl7v3:ActEncounterCode (preferred)	Encounter type	EuEncounter	type	EQ						R				EQ						R		
545	EHDSEncounter	note	0..1	A narrative description of the encounter course.	string		A narrative description of the encounter course.	EuEncounter	extension[note]	EQ						R				EQ						R		
546	EHDSEncounter	episodeOfCare	0..*	Reference to the episode(s) of care that this encounter should be recorded against	EHDSEpisodeOfCare		Reference to the episode(s) of care that this encounter should be recorded against	EuEncounter	episodeOfCare	EQ		EuEpisodeOfCare				R				EQ		EuEpisodeOfCare				R		
547	EHDSEncounter	basedOn[x]	0..*	Reference to the request that initiated this encounter	EHDSCarePlan		Reference to the request that initiated this encounter	EuEncounter	basedOn	EQ		EuServiceRequest				R				EQ		EuServiceRequest				R		
548	EHDSEncounter	basedOn[x]	0..*	Reference to the request that initiated this encounter	EHDSServiceRequest		Reference to the request that initiated this encounter																					
549	EHDSEncounter	partOf	0..1	Reference to another encounter this encounter is part of	EHDSEncounter		Reference to another encounter this encounter is part of	EuEncounter	partOf	EQ		EuEncounter				R				EQ		EuEncounter				R		
550	EHDSEncounter	serviceProvider	0..1	The organisation (facility) responsible for this encounter	EHDSOrganisation		The organisation (facility) responsible for this encounter	EuEncounter	serviceProvider	EQ		EuOrganization				R				EQ		EuOrganization				R		
551	EHDSEncounter	actualPeriod	0..1	The actual start and end time of the encounter	Period		The actual start and end time of the encounter	EuEncounter	actualPeriod	EQ						R				EQ						R		
552	EHDSEncounter	plannedStartDate	0..1	The planned start date/time (or admission date) of the encounter	dateTime		The planned start date/time (or admission date) of the encounter	EuEncounter	plannedStartDate	EQ						R				EQ						R		
553	EHDSEncounter	plannedEndDate	0..1	The planned end date/time (or discharge date) of the encounter	dateTime		The planned end date/time (or discharge date) of the encounter	EuEncounter	plannedEndDate	EQ						R				EQ						R		
554	EHDSEncounter	admission	0..1	Details about the admission to a healthcare service	Base		Details about the admission to a healthcare service	EuEncounter	admission	EQ						R				EQ						R		
555	EHDSEncounter	admission.admitter	0..1	Admitting healthcare professional	EHDSHealthProfessional		Admitting healthcare professional	EuEncounter	participant[admitter].actor	EQ						R				EQ						R		
556	EHDSEncounter	admission.admitSource	0..1	From where the patient was admitted (e.g. physician referral, transfer).	CodeableConcept	hl7:admit-source (preferred)	From where the patient was admitted (e.g. physician referral, transfer).	EuEncounter	admission.admitSource	EQ						R				EQ						R		
557	EHDSEncounter	admission.referringProfessional	0..1	Referring Healthcare Professional	EHDSHealthProfessional		Referring Healthcare Professional	EuEncounter	participant[referrer].actor	EQ						R				EQ						R		
558	EHDSEncounter	admission.reason[x]	0..*	Reason(s) for admission, e.g. problem, procedure or finding.	CodeableConcept		Reason(s) for admission, e.g. problem, procedure or finding.	EuEncounter	reason.value.reference	EQ						R				EQ						R		
559	EHDSEncounter	admission.reason[x]	0..*	Reason(s) for admission, e.g. problem, procedure or finding.	EHDSCondition		Reason(s) for admission, e.g. problem, procedure or finding.																					
560	EHDSEncounter	admission.reason[x]	0..*	Reason(s) for admission, e.g. problem, procedure or finding.	EHDSProcedure		Reason(s) for admission, e.g. problem, procedure or finding.																					
561	EHDSEncounter	admission.reason[x]	0..*	Reason(s) for admission, e.g. problem, procedure or finding.	EHDSObservation		Reason(s) for admission, e.g. problem, procedure or finding.																					
562	EHDSEncounter	admission.reasonComment	0..1	Explanation of the reason for the encounter.	string		Explanation of the reason for the encounter.	FLAG: CHANGED FROM admission.admissionReasonComment - REVIEW MAPPING																				
563	EHDSEncounter	admission.legalStatus	0..1	Legal status can be either voluntary or involuntary, however the legal status is always determined by a court. A patient can also receive healthcare based on a forensic status. (voluntary, involuntary, admission by legal authority).	CodeableConcept	SNOMED CT (preferred)	Legal status/situation at admission (indicates the basis on which the patient is staying in a healthcare organisation).	FLAG: CHANGED FROM admission.admissionLegalStatus - REVIEW MAPPING																				
564	EHDSEncounter	discharge	0..1	Discharge details	Base		Discharge details	EuEncounter	admission.dischargeDisposition	EQ						R				EQ						R		
565	EHDSEncounter	discharge.destinationType	0..1	Type of location to which the patient will go after the encounter. E.g. home, hospital, nursing home, left against medical advice etc.	CodeableConcept	hl7.discharge-disposition (preferred)	Type of location to which the patient will go after the encounter. E.g. home, hospital, nursing home, left against medical advice etc.	EuEncounter	admission.dischargeDisposition	EQ						R				EQ						R		
566	EHDSEncounter	discharge.destinationLocation[x]	0..1	The location/organisation to which the patient will go after the encounter. Name, address and telecommunication contact.	EHDSOrganisation		The location/organisation to which the patient will go after the encounter. Name, address and telecommunication contact.	EuEncounter	admission.destination	EQ						R				EQ						R		
567	EHDSEncounter	discharge.destinationLocation[x]	0..1	The location/organisation to which the patient will go after the encounter. Name, address and telecommunication contact.	EHDSLocation		The location/organisation to which the patient will go after the encounter. Name, address and telecommunication contact.	FLAG: MULTIPLE discharge.destinationLocation[x] - REVIEW MAPPING																				
568	EHDSEncounter	location	0..*	List of locations where the patient has been.	Base		List of locations where the patient has been.	EuEncounter	location	EQ						R				EQ						R		
569	EHDSEncounter	location.period	0..1	Time period during which the patient was present at the location	Period		Time period during which the patient was present at the location	EuEncounter	location.period	EQ						R				EQ						R		
570	EHDSEncounter	location.organisationPart[x]	1..1	Organisation or organisation part (department) where the patient was present.	EHDSOrganisation		Organisation or organisation part (department) where the patient was present.	EuEncounter	location.location	EQ		EuLocation				R				EQ		EuLocation				R		
571	EHDSEncounter	location.organisationPart[x]	1..1	Organisation or organisation part (department) where the patient was present.	EHDSLocation		Organisation or organisation part (department) where the patient was present.	FLAG: MULTIPLE location.organisationPart[x] - REVIEW MAPPING																				
572	EHDSEndpoint		0..*	EHDS refined base model for Endpoint			Endpoint model	EuEndpoint								M										M		
573	EHDSEndpoint	identifier	1..*	Identifier for the organisation that is used to identify the endpoint across multiple disparate systems.	Identifier		Identifier	EuEndpoint	identifier	EQ						M				EQ						M		
574	EHDSEndpoint	status	1..1	Status of the endpoint. The endpoint status represents whether the endpoint can currently be used for connections or why it can't be used.	CodeableConcept	hl7:EndpointStatus (preferred)	Status	EuEndpoint	status	EQ						M				EQ						M		
575	EHDSEndpoint	connectionType	1..*	A coded value that represents the technical details of the usage of this endpoint, such as what WSDLs should be used in what way. (e.g. XDS.b/DICOM/cds-hook).	CodeableConcept	hl7:endpoint-connection-type (preferred)	Connection type	EuEndpoint	connectionType	EQ						M				EQ						M		
576	EHDSEndpoint	name	0..1	A friendly name that this endpoint can be referred to with.	string		Name	EuEndpoint	name	EQ						M				EQ						M		
577	EHDSEndpoint	managingOrganisation	0..1	The organisation that provides technical management services for this endpoint.	EHDSOrganisation		Managing organisation	EuEndpoint	managingOrganization	EQ		EuOrganization				M				EQ		EuOrganization				M		
578	EHDSEndpoint	payload	0..*	The set of payloads that are provided/available at this endpoint.	Base		Payload	EuEndpoint	payload	EQ						M				EQ						M		
579	EHDSEndpoint	payload.type	0..*	The type of content that may be used at this endpoint (e.g. XDS Discharge summaries).	CodeableConcept	hl7:endpoint-payload-type (preferred)	Type	EuEndpoint	payload.type	EQ						M				EQ						M		
580	EHDSEndpoint	payload.mimeType	0..*	The mime type to send the payload in - e.g. application/fhir+xml, application/fhir+json.	CodeableConcept	BCP-13 (preferred)	Mime type	EuEndpoint	payload.mimeType	EQ						M				EQ						M		
581	EHDSEndpoint	payload.profileCanonical	0..*	The FHIR profile that is expected at this endpoint. It describes the resources that are handled, or even simply which resource types.	uri		Profile Canonical							lt refers to resources and logical models retrieved by an endpoint url. This is not the typical use of an Endpoint resource but more typically associated with Attachements.										lt refers to resources and logical models retrieved by an endpoint url. This is not the typical use of an Endpoint resource but more typically associated with Attachements.				
582	EHDSEndpoint	payload.profileUri	0..*	The profile (as a uri) that is expected at this endpoint when not represented using a FHIR profile.	uri		Profile uri							lt refers to resources and logical models retrieved by an endpoint url. This is not the typical use of an Endpoint resource but more typically associated with Attachements.										lt refers to resources and logical models retrieved by an endpoint url. This is not the typical use of an Endpoint resource but more typically associated with Attachements.				
583	EHDSEndpoint	address	1..1	The uri that describes the actual end-point to connect to.	uri		Address	EuEndpoint	address	EQ						M				EQ						M		
584	EHDSEndpoint	header	0..*	Additional headers / information to send as part of the notification. Usage depends on the channel type.	string		Header	EuEndpoint	header	EQ						M				EQ						M		
585	EHDSEpisodeOfCare		0..*	EHDS refined base model for Episode of care			Episode of care model																					
586	EHDSEpisodeOfCare	header	1..1	Common header for all patient-related data	Base		Common header for all patient-related data																					
587	EHDSEpisodeOfCare	header.subject	1..1	Patient/subject information	EHDSPatient		Subject																					
588	EHDSEpisodeOfCare	header.identifier	0..*	Business identifier for the object	Identifier		Business identifiers assigned to this episode of care.																					
589	EHDSEpisodeOfCare	header.authorship	1..*	Resource authoring details	Base		Authorship																					
590	EHDSEpisodeOfCare	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSHealthProfessional		Author																					
591	EHDSEpisodeOfCare	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author																					
592	EHDSEpisodeOfCare	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSDevice		Author																					
593	EHDSEpisodeOfCare	header.authorship.datetime	1..1	Date and time of the issuing the document/resource by its author.	dateTime		Date and time of authoring/issuing																					
594	EHDSEpisodeOfCare	header.lastUpdate	0..1	Date and time of the last update to the document/information	dateTime		Date and time of the last update to the resource																					
595	EHDSEpisodeOfCare	header.status	1..1	Status of the resource	CodeableConcept		Status of the resource																					
596	EHDSEpisodeOfCare	header.statusReason[x]	0..1	Reason for the current status of the resource.	CodeableConcept		Reason for the current status of the resource.																					
597	EHDSEpisodeOfCare	header.statusReason[x]	0..1	Reason for the current status of the resource.	string		Reason for the current status of the resource.																					
598	EHDSEpisodeOfCare	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language																					
599	EHDSEpisodeOfCare	header.version	0..1	Business version of the resource.	string		Version																					
600	EHDSEpisodeOfCare	presentedForm	0..*	A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EHDSAttachment		A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document																					
601	EHDSEpisodeOfCare	type	0..*	A classification of the type of episode of care, e.g. specialist referral, disease management.	CodeableConcept		A classification of the type of episode of care, e.g. specialist referral, disease management.																					
602	EHDSEpisodeOfCare	reasonText	0..1	Textual descriptions of the medical reasons that are expected to be addressed during the episode of care.	string		Textual descriptions of the medical reasons that are expected to be addressed during the episode of care.																					
603	EHDSEpisodeOfCare	reason[x]	0..*	Coded list of medical reasons that are expected to be addressed during the episode of care.	CodeableConcept		Coded list of medical reasons that are expected to be addressed during the episode of care.																					
604	EHDSEpisodeOfCare	reason[x]	0..*	Coded list of medical reasons that are expected to be addressed during the episode of care.	EHDSCondition		Coded list of medical reasons that are expected to be addressed during the episode of care.																					
605	EHDSEpisodeOfCare	reason[x]	0..*	Coded list of medical reasons that are expected to be addressed during the episode of care.	EHDSProcedure		Coded list of medical reasons that are expected to be addressed during the episode of care.																					
606	EHDSEpisodeOfCare	reason[x]	0..*	Coded list of medical reasons that are expected to be addressed during the episode of care.	EHDSObservation		Coded list of medical reasons that are expected to be addressed during the episode of care.																					
607	EHDSEpisodeOfCare	diagnosis	0..*	List of medical conditions that were addressed during the episode of care	Base		List of medical conditions that were addressed during the episode of care																					
608	EHDSEpisodeOfCare	diagnosis.description	1..1	Textual description of the medical condition that was addressed during the episode of care	string		Textual description of the medical condition that was addressed during the episode of care																					
609	EHDSEpisodeOfCare	diagnosis.condition[x]	0..1	The medical condition that was addressed during the episode of care	CodeableConcept		The medical condition that was addressed during the episode of care																					
610	EHDSEpisodeOfCare	diagnosis.condition[x]	0..1	The medical condition that was addressed during the episode of care	EHDSCondition		The medical condition that was addressed during the episode of care																					
611	EHDSFamilyMemberHistory		0..*	EHDS refined base model for family member history			Family member history model																					
612	EHDSFamilyMemberHistory	header	1..1	Common header for all patient-related data	Base		Common header for all patient-related data																					
613	EHDSFamilyMemberHistory	header.subject	1..1	Patient/subject information	EHDSPatient		The person whose family member's medical history is described.																					
614	EHDSFamilyMemberHistory	header.identifier	0..*	Business identifier for the object	Identifier		Business identifier for the object																					
615	EHDSFamilyMemberHistory	header.authorship	1..*	Resource authoring details	Base		Authorship																					
616	EHDSFamilyMemberHistory	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSHealthProfessional		Author																					
617	EHDSFamilyMemberHistory	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author																					
618	EHDSFamilyMemberHistory	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSDevice		Author																					
619	EHDSFamilyMemberHistory	header.authorship.datetime	1..1	Date and time of the issuing the document/resource by its author.	dateTime		Date and time of authoring/issuing																					
620	EHDSFamilyMemberHistory	header.lastUpdate	0..1	Date and time of the last update to the document/information	dateTime		Date and time of the last update to the resource																					
621	EHDSFamilyMemberHistory	header.status	1..1	Status of the resource	CodeableConcept		Status of the resource																					
622	EHDSFamilyMemberHistory	header.statusReason[x]	0..1	Reason for the current status of the resource.	CodeableConcept		Reason for the current status of the resource.																					
623	EHDSFamilyMemberHistory	header.statusReason[x]	0..1	Reason for the current status of the resource.	string		Reason for the current status of the resource.																					
624	EHDSFamilyMemberHistory	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language																					
625	EHDSFamilyMemberHistory	header.version	0..1	Business version of the resource.	string		Version																					
626	EHDSFamilyMemberHistory	presentedForm	0..*	A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EHDSAttachment		A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document																					
627	EHDSFamilyMemberHistory	patientRelationship	0..1	The family relation between the related person and the patient.	CodeableConcept	hl7:v3-RoleCode (preferred)	Patient relationship																					
628	EHDSFamilyMemberHistory	dateOfBirth	0..1	Date of birth of the family member.	date		Date of birth of the family member.																					
629	EHDSFamilyMemberHistory	ageOrDateOfDeath[x]	0..1	Age or date of the death of the family member.	date		Age or date of the death of the family member.																					
630	EHDSFamilyMemberHistory	ageOrDateOfDeath[x]	0..1	Age or date of the death of the family member.	Quantity		Age or date of the death of the family member.																					
631	EHDSFamilyMemberHistory	condition	0..*	Medical problems this person suffers or suffered.	CodeableConcept	ICD-10, SNOMED CT, Orphacode if rare disease is diagnosed (preferred)	Medical problems this person suffers or suffered.																					
632	EHDSFamilyMemberHistory	causeOfDeath	0..1	Information about disease or condition that was the main cause of death.	CodeableConcept	ICD-10, SNOMED CT, Orphacode if rare disease is diagnosed (preferred)	Information about disease or condition that was the main cause of death.																					
633	EHDSFunctionalStatus		0..*	EHDS refined base model for Functional status			Functional status																					
634	EHDSFunctionalStatus	header	1..1	Common header for all patient-related data	Base		Common header for all patient-related data																					
635	EHDSFunctionalStatus	header.subject	1..1	Patient/subject information	EHDSPatient		Subject																					
636	EHDSFunctionalStatus	header.identifier	0..*	Business identifier for the object	Identifier		Business identifier for the object																					
637	EHDSFunctionalStatus	header.authorship	1..*	Resource authoring details	Base		Authorship																					
638	EHDSFunctionalStatus	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSHealthProfessional		Author																					
639	EHDSFunctionalStatus	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author																					
640	EHDSFunctionalStatus	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSDevice		Author																					
641	EHDSFunctionalStatus	header.authorship.datetime	1..1	Date and time of the issuing the document/resource by its author.	dateTime		Date and time of authoring/issuing																					
642	EHDSFunctionalStatus	header.lastUpdate	0..1	Date and time of the last update to the document/information	dateTime		Date and time of the last update to the resource																					
643	EHDSFunctionalStatus	header.status	1..1	Status of the resource	CodeableConcept		Status of the resource																					
644	EHDSFunctionalStatus	header.statusReason[x]	0..1	Reason for the current status of the resource.	CodeableConcept		Reason for the current status of the resource.																					
645	EHDSFunctionalStatus	header.statusReason[x]	0..1	Reason for the current status of the resource.	string		Reason for the current status of the resource.																					
646	EHDSFunctionalStatus	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language																					
647	EHDSFunctionalStatus	header.version	0..1	Business version of the resource.	string		Version																					
648	EHDSFunctionalStatus	presentedForm	0..*	A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EHDSAttachment		A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document																					
649	EHDSFunctionalStatus	description	0..1	Narrative description of the need for the patient to be continuously assessed by third parties, functional status may influence decisions about how to plan and administer treatments.	string		Narrative description of the functional status																					
650	EHDSFunctionalStatus	relatedConditions	0..*	Conditions related to the functional status	Base		Conditions related to the functional status																					
651	EHDSFunctionalStatus	relatedConditions.condition	0..1	Condition related to the functional status	CodeableConcept		Condition related to the functional status																					
652	EHDSFunctionalStatus	relatedConditions.conditionText	0..1	Textual description of the condition	string		Textual description of the condition																					
653	EHDSFunctionalStatus	relatedConditions.onsetDate	0..1	Onset date of a condition	dateTime		Onset date of a condition																					
654	EHDSFunctionalStatus	functionalStatusAssessment	0..*	Functional status assessment of the patient according to a specific assessment scheme.	Base		Functional assessment of the patient																					
655	EHDSFunctionalStatus	functionalStatusAssessment.functionalAssessmentDescription	0..1	Description of the functional assessment	string		Description of the functional assessment																					
656	EHDSFunctionalStatus	functionalStatusAssessment.functionalAssessmentCode	0..1	Standardized code corresponding to the Functional assessment	CodeableConcept	ICF, SNOMED CT (preferred)	Standardized code corresponding to the Functional assessment																					
657	EHDSFunctionalStatus	functionalStatusAssessment.functionalAssessmentDateTime	0..1	Date and time of the functional assessment	dateTime		Date and time of the functional assessment																					
658	EHDSFunctionalStatus	functionalStatusAssessment.functionalAssessmentResult[x]	0..1	Functional assessment result value	string	ICF, SNOMED CT (preferred)	Functional assessment result value																					
659	EHDSFunctionalStatus	functionalStatusAssessment.functionalAssessmentResult[x]	0..1	Functional assessment result value	Quantity	ICF, SNOMED CT (preferred)	Functional assessment result value																					
660	EHDSFunctionalStatus	functionalStatusAssessment.functionalAssessmentResult[x]	0..1	Functional assessment result value	CodeableConcept	ICF, SNOMED CT (preferred)	Functional assessment result value																					
661	EHDSHealthProfessional		0..*	EHDS refined base model for Health professional (HP)			Health professional model	EuPractitioner								MR										MR		
662	EHDSHealthProfessional							EuPractitionerRole	practitioner							MR										MR		
663	EHDSHealthProfessional	identifier	0..*	An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided.	Identifier		An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided.	EuPractitioner	identifier	EQ						MR				EQ						MR		
664	EHDSHealthProfessional	name	0..1	Name of the health professional that has been treating or taking responsibility for the patient.	EHDSHumanName		Name of the health professional that has been treating or taking responsibility for the patient.	EuPractitioner	name	EQ		-				MR				EQ		-				MR		
665	EHDSHealthProfessional	address	0..1	Mailing and office or home addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code, if this attribute is not present it is assumed to be the default address useful for any purpose.	EHDSAddress		Mailing and office or home addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code, if this attribute is not present it is assumed to be the default address useful for any purpose.	EuPractitioner	address	EQ		-				MR				EQ		-				MR		
666	EHDSHealthProfessional	telecom	0..*	Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided.	EHDSTelecom		Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided.	EuPractitioner	telecom	EQ		-				MR				EQ		-				MR		
667	EHDSHealthProfessional	role	0..*	Health professional role. Multiple roles could be provided.	CodeableConcept	ISCO, SNOMED CT (preferred)	Health professional role. Multiple roles could be provided.	EuPractitionerRole	code	EQ						MR				EQ						MR		
668	EHDSHealthProfessional	organisation	0..1	The organisation where this role is available	EHDSOrganisation		The organisation where this role is available	EuPractitionerRole	organization	EQ		EuOrganization				MR				EQ		EuOrganization				MR		
669	EHDSHealthProfessional	specialty	0..*	The specialty of a practitioner that describes the functional role they are practicing at a given organisation	CodeableConcept		The specialty of a practitioner that describes the functional role they are practicing at a given organisation	EuPractitionerRole	specialty	EQ						MR				EQ						MR		
670	EHDSHumanName		0..*	EHDS refined base model for Human name			Human name model	EuHumanName								MR										MR		
671	EHDSHumanName	use	0..1	Identifies the purpose for this name.	CodeableConcept	hl7:NameUse (preferred)	Use	EuHumanName	use	EQ						MR				EQ						MR		
672	EHDSHumanName	text	0..1	Specifies the entire name as it should be displayed e.g. on an application UI. This may be provided instead of or as well as the specific parts.	string		Text	EuHumanName	text	EQ	Concatenation of family names and given names..					MR				EQ	Concatenation of family names and given names..					MR		
673	EHDSHumanName	family	0..*	The family name/surname/last name of the patient. This field can contain more than one  element or multiple fields could be present.	string		Family	EuHumanName	family	SB	Concatenation of family names.					MR				SB	Concatenation of family names.					MR		
674	EHDSHumanName	given	0..*	The given name/first name  (also known as forename or first name).	string		Given	EuHumanName	given	EQ						MR				EQ						MR		
675	EHDSHumanName	prefix	0..*	Name parts that come before the name. Prefixes appear in the correct order for presenting the name.	string		Prefix	EuHumanName	prefix	EQ						MR				EQ						MR		
676	EHDSHumanName	suffix	0..*	Name parts that come after the name. Suffixes appear in the correct order for presenting the name.	string		Suffix	EuHumanName	suffix	EQ						MR				EQ						MR		
677	EHDSImagingReport		0..*	EHDS refined base model for Medical Imaging Result Report			Imaging report model	CompositionEuImaging	extension[diagnosticreport-reference]			DiagnosticReportEuImaging				R		CompositionEuImaging	extension[diagnosticreport-reference]			DiagnosticReportEuImaging				R		
678	EHDSImagingReport		0..*	EHDS refined base model for Medical Imaging Result Report			Imaging report model	DiagnosticReportEuImaging	composition			CompositionEuImaging				R		DiagnosticReportEuImaging	composition			CompositionEuImaging				R		
679	EHDSImagingReport	header	1..1	Common header for all patient-related data	Base		Imaging Report header							N/A		R								N/A		R		
680	EHDSImagingReport	header.subject	1..1	Patient/subject information	EHDSPatient		Subject	CompositionEuImaging	subject			EuPatient				R		CompositionEuImaging	subject			EuPatient				R		
681	EHDSImagingReport	header.subject	1..1	Patient/subject information	EHDSPatient		Subject	DiagnosticReportEuImaging	subject			EuPatient				R		DiagnosticReportEuImaging	subject			EuPatient				R		
682	EHDSImagingReport	header.identifier	1..*	Unique identifier of the document	Identifier		Document ID	CompositionEuImaging	identifier							R		CompositionEuImaging	identifier							R		
683	EHDSImagingReport	header.identifier	1..*	Unique identifier of the document	Identifier		Document ID	DiagnosticReportEuImaging	identifier							R		DiagnosticReportEuImaging	identifier							R		
684	EHDSImagingReport	header.authorship	1..*	Resource authoring details	Base		Authorship	CompositionEuImaging	author			EuPractitionerRole				R		CompositionEuImaging	author			EuPractitionerRole				R		
685	EHDSImagingReport	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSHealthProfessional		Author	CompositionEuImaging	author[author]			EuDevice				R		CompositionEuImaging	author[author]			EuDevice				R		
686	EHDSImagingReport	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author	CompositionEuImaging	author[organization]			EuOrganization				R		CompositionEuImaging	author[organization]			EuOrganization				R		
686	EHDSImagingReport	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author	DiagnosticReportEuImaging	performer[organization]			EuOrganization				R		DiagnosticReportEuImaging	performer[organization]			EuOrganization				R		
